brand,horsepower,curbweight,fueltype,carbody,price
alfa-romero,111,2548,gas,convertible,13495.0
alfa-romero,111,2548,gas,convertible,16500.0
alfa-romero,154,2823,gas,hatchback,16500.0
audi,102,2337,gas,sedan,13950.0
audi,115,2824,gas,sedan,17450.0
audi,110,2507,gas,sedan,15250.0
audi,110,2844,gas,sedan,17710.0
audi,110,2954,gas,wagon,18920.0
audi,140,3086,gas,sedan,23875.0
audi,160,3053,gas,hatchback,17859.167
bmw,101,2395,gas,sedan,16430.0
bmw,101,2395,gas,sedan,16925.0
bmw,121,2710,gas,sedan,20970.0
bmw,121,2765,gas,sedan,21105.0
bmw,121,3055,gas,sedan,24565.0
bmw,182,3230,gas,sedan,30760.0
bmw,182,3380,gas,sedan,41315.0
bmw,182,3505,gas,sedan,36880.0
chevrolet,48,1488,gas,hatchback,5151.0
chevrolet,70,1874,gas,hatchback,6295.0
chevrolet,70,1909,gas,sedan,6575.0
dodge,68,1876,gas,hatchback,5572.0
dodge,68,1876,gas,hatchback,6377.0
dodge,102,2128,gas,hatchback,7957.0
dodge,68,1967,gas,hatchback,6229.0
dodge,68,1989,gas,sedan,6692.0
dodge,68,1989,gas,sedan,7609.0
dodge,102,2191,gas,sedan,8558.0
dodge,88,2535,gas,wagon,8921.0
dodge,145,2811,gas,hatchback,12964.0
honda,58,1713,gas,hatchback,6479.0
honda,76,1819,gas,hatchback,6855.0
honda,60,1837,gas,hatchback,5399.0
honda,76,1940,gas,hatchback,6529.0
honda,76,1956,gas,hatchback,7129.0
honda,76,2010,gas,sedan,7295.0
honda,76,2024,gas,wagon,7295.0
honda,86,2236,gas,hatchback,7895.0
honda,86,2289,gas,hatchback,9095.0
honda,86,2304,gas,sedan,8845.0
honda,86,2372,gas,sedan,10295.0
honda,101,2465,gas,sedan,12945.0
honda,100,2293,gas,sedan,10345.0
isuzu,78,2337,gas,sedan,6785.0
isuzu,70,1874,gas,sedan,8916.5
isuzu,70,1909,gas,sedan,8916.5
isuzu,90,2734,gas,hatchback,11048.0
jaguar,176,4066,gas,sedan,32250.0
jaguar,176,4066,gas,sedan,35550.0
jaguar,262,3950,gas,sedan,36000.0
mazda,68,1890,gas,hatchback,5195.0
mazda,68,1900,gas,hatchback,6095.0
mazda,68,1905,gas,hatchback,6795.0
mazda,68,1945,gas,sedan,6695.0
mazda,68,1950,gas,sedan,7395.0
mazda,101,2380,gas,hatchback,10945.0
mazda,101,2380,gas,hatchback,11845.0
mazda,101,2385,gas,hatchback,13645.0
mazda,135,2500,gas,hatchback,15645.0
mazda,84,2385,gas,hatchback,8845.0
mazda,84,2410,gas,sedan,8495.0
mazda,84,2385,gas,hatchback,10595.0
mazda,84,2410,gas,sedan,10245.0
mazda,64,2443,diesel,sedan,10795.0
mazda,84,2425,gas,hatchback,11245.0
mazda,120,2670,gas,sedan,18280.0
mazda,72,2700,diesel,sedan,18344.0
buick,123,3515,diesel,sedan,25552.0
buick,123,3750,diesel,wagon,28248.0
buick,123,3495,diesel,hardtop,28176.0
buick,123,3770,diesel,sedan,31600.0
buick,155,3740,gas,sedan,34184.0
buick,155,3685,gas,convertible,35056.0
buick,184,3900,gas,sedan,40960.0
buick,184,3715,gas,hardtop,45400.0
mercury,175,2910,gas,hatchback,16503.0
mitsubishi,68,1918,gas,hatchback,5389.0
mitsubishi,68,1944,gas,hatchback,6189.0
mitsubishi,68,2004,gas,hatchback,6669.0
mitsubishi,102,2145,gas,hatchback,7689.0
mitsubishi,116,2370,gas,hatchback,9959.0
mitsubishi,88,2328,gas,hatchback,8499.0
mitsubishi,145,2833,gas,hatchback,12629.0
mitsubishi,145,2921,gas,hatchback,14869.0
mitsubishi,145,2926,gas,hatchback,14489.0
mitsubishi,88,2365,gas,sedan,6989.0
mitsubishi,88,2405,gas,sedan,8189.0
mitsubishi,116,2403,gas,sedan,9279.0
mitsubishi,116,2403,gas,sedan,9279.0
nissan,69,1889,gas,sedan,5499.0
nissan,55,2017,diesel,sedan,7099.0
nissan,69,1918,gas,sedan,6649.0
nissan,69,1938,gas,sedan,6849.0
nissan,69,2024,gas,wagon,7349.0
nissan,69,1951,gas,sedan,7299.0
nissan,69,2028,gas,hatchback,7799.0
nissan,69,1971,gas,sedan,7499.0
nissan,69,2037,gas,wagon,7999.0
nissan,69,2008,gas,hardtop,8249.0
nissan,97,2324,gas,hatchback,8949.0
nissan,97,2302,gas,sedan,9549.0
nissan,152,3095,gas,sedan,13499.0
nissan,152,3296,gas,wagon,14399.0
nissan,152,3060,gas,sedan,13499.0
nissan,160,3071,gas,hatchback,17199.0
nissan,200,3139,gas,hatchback,19699.0
nissan,160,3139,gas,hatchback,18399.0
peugeot,97,3020,gas,sedan,11900.0
peugeot,95,3197,diesel,sedan,13200.0
peugeot,97,3230,gas,wagon,12440.0
peugeot,95,3430,diesel,wagon,13860.0
peugeot,95,3075,gas,sedan,15580.0
peugeot,95,3252,diesel,sedan,16900.0
peugeot,95,3285,gas,wagon,16695.0
peugeot,95,3485,diesel,wagon,17075.0
peugeot,97,3075,gas,sedan,16630.0
peugeot,95,3252,diesel,sedan,17950.0
peugeot,142,3130,gas,sedan,18150.0
plymouth,68,1918,gas,hatchback,5572.0
plymouth,102,2128,gas,hatchback,7957.0
plymouth,68,1967,gas,hatchback,6229.0
plymouth,68,1989,gas,sedan,6692.0
plymouth,68,2191,gas,sedan,7609.0
plymouth,88,2535,gas,wagon,8921.0
plymouth,145,2818,gas,hatchback,12764.0
porsche,143,2778,gas,hatchback,22018.0
porsche,207,2756,gas,hardtop,32528.0
porsche,207,2756,gas,hardtop,34028.0
porsche,207,2800,gas,convertible,37028.0
porsche,288,3366,gas,hatchback,31400.5
renault,90,2579,gas,wagon,9295.0
renault,90,2460,gas,hatchback,9895.0
saab,110,2658,gas,hatchback,11850.0
saab,110,2695,gas,sedan,12170.0
saab,110,2707,gas,hatchback,15040.0
saab,110,2758,gas,sedan,15510.0
saab,160,2808,gas,hatchback,18150.0
saab,160,2847,gas,sedan,18620.0
subaru,69,2050,gas,hatchback,5118.0
subaru,73,2120,gas,hatchback,7053.0
subaru,73,2240,gas,hatchback,7603.0
subaru,82,2145,gas,sedan,7126.0
subaru,82,2190,gas,sedan,7775.0
subaru,94,2340,gas,sedan,9960.0
subaru,82,2385,gas,sedan,9233.0
subaru,111,2510,gas,sedan,11259.0
subaru,82,2290,gas,wagon,7463.0
subaru,94,2455,gas,wagon,10198.0
subaru,82,2420,gas,wagon,8013.0
subaru,111,2650,gas,wagon,11694.0
toyota,62,1985,gas,hatchback,5348.0
toyota,62,2040,gas,hatchback,6338.0
toyota,62,2015,gas,hatchback,6488.0
toyota,62,2280,gas,wagon,6918.0
toyota,62,2290,gas,wagon,7898.0
toyota,62,3110,gas,wagon,8778.0
toyota,70,2081,gas,sedan,6938.0
toyota,70,2109,gas,hatchback,7198.0
toyota,56,2275,diesel,sedan,7898.0
toyota,56,2275,diesel,hatchback,7788.0
toyota,70,2094,gas,sedan,7738.0
toyota,70,2122,gas,hatchback,8358.0
toyota,70,2140,gas,sedan,9258.0
toyota,70,2169,gas,sedan,8058.0
toyota,70,2204,gas,hatchback,8238.0
toyota,112,2265,gas,sedan,9298.0
toyota,112,2300,gas,hatchback,9538.0
toyota,116,2540,gas,hardtop,8449.0
toyota,116,2536,gas,hardtop,9639.0
toyota,116,2551,gas,hatchback,9989.0
toyota,116,2679,gas,hardtop,11199.0
toyota,116,2714,gas,hatchback,11549.0
toyota,116,2975,gas,convertible,17669.0
toyota,92,2326,gas,sedan,8948.0
toyota,73,2480,diesel,sedan,10698.0
toyota,92,2414,gas,hatchback,9988.0
toyota,92,2414,gas,sedan,10898.0
toyota,92,2458,gas,hatchback,11248.0
toyota,161,2976,gas,hatchback,16558.0
toyota,161,3016,gas,hatchback,15998.0
toyota,156,3131,gas,sedan,15690.0
toyota,156,3151,gas,wagon,15750.0
volkswagen,52,2261,diesel,sedan,7775.0
volkswagen,85,2209,gas,sedan,7975.0
volkswagen,52,2264,diesel,sedan,7995.0
volkswagen,85,2212,gas,sedan,8195.0
volkswagen,85,2275,gas,sedan,8495.0
volkswagen,68,2319,diesel,sedan,9495.0
volkswagen,100,2300,gas,sedan,9995.0
volkswagen,90,2254,gas,convertible,11595.0
volkswagen,90,2221,gas,hatchback,9980.0
volkswagen,110,2661,gas,sedan,13295.0
volkswagen,68,2579,diesel,sedan,13845.0
volkswagen,88,2563,gas,wagon,12290.0
volvo,114,2912,gas,sedan,12940.0
volvo,114,3034,gas,wagon,13415.0
volvo,114,2935,gas,sedan,15985.0
volvo,114,3042,gas,wagon,16515.0
volvo,162,3045,gas,sedan,18420.0
volvo,162,3157,gas,wagon,18950.0
volvo,114,2952,gas,sedan,16845.0
volvo,160,3049,gas,sedan,19045.0
volvo,134,3012,gas,sedan,21485.0
volvo,106,3217,diesel,sedan,22470.0
volvo,114,3062,gas,sedan,22625.0
